id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Undertow,Sable & Crow,soul,melancholic,0.55,88,0.38,0.61,0.67
12,Shattered Glass,Iron Veil,metal,aggressive,0.97,180,0.22,0.53,0.04
13,Porch Swing Dusk,Mae Holloway,country,nostalgic,0.44,96,0.73,0.65,0.81
14,Neon Pulse,Gridlock,electronic,energetic,0.88,140,0.68,0.91,0.09
15,Golden Hour Fade,The Mellow Keys,r&b,romantic,0.61,104,0.79,0.70,0.55
16,Pine & Fog,Drifter's Son,folk,sad,0.32,74,0.30,0.45,0.88
17,Cascade Protocol,Syntex,drum and bass,tense,0.95,174,0.41,0.85,0.06
18,Ivory Rain,Clara Voss,classical,serene,0.25,66,0.67,0.29,0.94
19,Solar Flare,Neon Echo,synthwave,energetic,0.85,125,0.72,0.80,0.12
20,Retro Drift,Neon Echo,pop,happy,0.78,115,0.80,0.76,0.20
21,Dusty Loops,LoRoom,lofi,relaxed,0.38,75,0.62,0.55,0.80
22,Late Night Study,LoRoom,lofi,focused,0.36,82,0.55,0.58,0.83
